filename,band,candidate_time,dm,snr,fil_file,wait_time,date,obs_time,file_path
CRAB_L1_Band_2024_07_19_16_36_45_tcand_5.7089600_dm_56.4_snr_20.3.h5,L1,2024-07-19 16:36:50.708960,56.4,20.0,CRAB_L1_Band_2024_07_19_16_36_45.fil,,2024-07-19,39.5899264,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_16_36_45.fil
CRAB_L1_Band_2024_07_19_16_44_51_tcand_40.3533700_dm_57.4_snr_16.1.h5,L1,2024-07-19 16:45:31.353370,57.4,16.0,CRAB_L1_Band_2024_07_19_16_44_51.fil,0 days 00:00:01.589383,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_16_44_51.fil
CRAB_L1_Band_2024_07_19_16_44_51_tcand_243.3606140_dm_57.4_snr_17.3.h5,L1,2024-07-19 16:48:54.360614,57.4,17.0,CRAB_L1_Band_2024_07_19_16_44_51.fil,0 days 00:00:58.456179,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_16_44_51.fil
CRAB_L1_Band_2024_07_19_16_56_53_tcand_73.2605890_dm_56.4_snr_18.4.h5,L1,2024-07-19 16:58:06.260589,56.4,18.0,CRAB_L1_Band_2024_07_19_16_56_53.fil,0 days 00:00:02.807955,2024-07-19,99.0883008,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_16_56_53.fil
CRAB_L1_Band_2024_07_19_17_12_24_tcand_20.5593980_dm_56.4_snr_16.6.h5,L1,2024-07-19 17:12:44.559398,56.4,16.0,CRAB_L1_Band_2024_07_19_17_12_24.fil,0 days 00:00:00.845977,2024-07-19,128.17136,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_12_24.fil
CRAB_L1_Band_2024_07_19_17_20_54_tcand_57.9577980_dm_56.4_snr_38.3.h5,L1,2024-07-19 17:21:51.957798,56.4,38.0,CRAB_L1_Band_2024_07_19_17_20_54.fil,0 days 00:00:09.742630,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_20_54.fil
CRAB_L1_Band_2024_07_19_17_20_54_tcand_422.8021060_dm_56.4_snr_20.8.h5,L1,2024-07-19 17:27:56.802106,56.4,20.0,CRAB_L1_Band_2024_07_19_17_20_54.fil,0 days 00:00:47.326733,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_20_54.fil
CRAB_L1_Band_2024_07_19_17_20_54_tcand_535.8246340_dm_56.4_snr_20.1.h5,L1,2024-07-19 17:29:49.824634,56.4,20.0,CRAB_L1_Band_2024_07_19_17_20_54.fil,0 days 00:00:08.288160,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_20_54.fil
CRAB_L1_Band_2024_07_19_17_38_16_tcand_80.2448640_dm_56.4_snr_35.9.h5,L1,2024-07-19 17:39:36.244864,56.4,35.0,CRAB_L1_Band_2024_07_19_17_38_16.fil,,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_38_16.fil
CRAB_L1_Band_2024_07_19_17_38_16_tcand_316.0321540_dm_56.4_snr_19.7.h5,L1,2024-07-19 17:43:32.032154,56.4,19.0,CRAB_L1_Band_2024_07_19_17_38_16.fil,0 days 00:00:36.264544,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_38_16.fil
CRAB_L1_Band_2024_07_19_17_38_16_tcand_586.4598850_dm_57.4_snr_51.2.h5,L1,2024-07-19 17:48:02.459885,57.4,51.0,CRAB_L1_Band_2024_07_19_17_38_16.fil,0 days 00:01:29.105011,2024-07-19,599.9998912,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_38_16.fil
CRAB_L1_Band_2024_07_19_17_48_45_tcand_72.9752900_dm_56.4_snr_18.8.h5,L1,2024-07-19 17:49:57.975290,56.4,18.0,CRAB_L1_Band_2024_07_19_17_48_45.fil,0 days 00:00:29.431252,2024-07-19,91.0074688,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_48_45.fil
CRAB_L1_Band_2024_07_19_17_59_30_tcand_33.2415230_dm_56.4_snr_21.3.h5,L1,2024-07-19 18:00:03.241523,56.4,21.0,CRAB_L1_Band_2024_07_19_17_59_30.fil,0 days 00:00:29.769721,2024-07-19,44.4800896,./2024-07-19/L1_Band/CRAB_L1_Band_2024_07_19_17_59_30.fil
CRAB_L1_Band_2024_07_22_13_08_50_tcand_57.9671230_dm_56.4_snr_18.7.h5,L1,2024-07-22 13:09:47.967123,56.4,18.0,CRAB_L1_Band_2024_07_22_13_08_50.fil,0 days 00:00:17.035814,2024-07-22,599.9998912,./2024-07-22/L1_Band/CRAB_L1_Band_2024_07_22_13_08_50.fil
CRAB_L1_Band_2024_07_22_13_08_50_tcand_109.4884290_dm_56.4_snr_16.8.h5,L1,2024-07-22 13:10:39.488429,56.4,16.0,CRAB_L1_Band_2024_07_22_13_08_50.fil,0 days 00:00:51.521306,2024-07-22,599.9998912,./2024-07-22/L1_Band/CRAB_L1_Band_2024_07_22_13_08_50.fil
CRAB_L1_Band_2024_07_22_13_08_50_tcand_324.3693180_dm_56.4_snr_21.2.h5,L1,2024-07-22 13:14:14.369318,56.4,21.0,CRAB_L1_Band_2024_07_22_13_08_50.fil,0 days 00:01:36.040281,2024-07-22,599.9998912,./2024-07-22/L1_Band/CRAB_L1_Band_2024_07_22_13_08_50.fil
CRAB_L1_Band_2024_07_22_13_08_50_tcand_359.1450690_dm_56.4_snr_17.1.h5,L1,2024-07-22 13:14:49.145069,56.4,17.0,CRAB_L1_Band_2024_07_22_13_08_50.fil,0 days 00:00:14.715725,2024-07-22,599.9998912,./2024-07-22/L1_Band/CRAB_L1_Band_2024_07_22_13_08_50.fil
CRAB_L1_Band_2024_07_22_13_08_50_tcand_390.9104960_dm_56.4_snr_49.8.h5,L1,2024-07-22 13:15:20.910496,56.4,49.0,CRAB_L1_Band_2024_07_22_13_08_50.fil,0 days 00:00:16.237850,2024-07-22,599.9998912,./2024-07-22/L1_Band/CRAB_L1_Band_2024_07_22_13_08_50.fil
CRAB_L1_Band_2024_07_22_13_44_52_tcand_336.3790660_dm_56.4_snr_23.4.h5,L1,2024-07-22 13:50:28.379066,56.4,23.0,CRAB_L1_Band_2024_07_22_13_44_52.fil,0 days 00:00:04.025536,2024-07-22,599.9998912,./2024-07-22/L1_Band/CRAB_L1_Band_2024_07_22_13_44_52.fil
